image,image_type,method,yeast_label,area_px,centroid_y,centroid_x,mean_green_intensity,mean_red_intensity,red_overlap_area_px,red_overlap_fraction,red_positive_threshold,red_positive_by_intensity,red_positive_by_overlap_or_centroid,red_positive,red_centroids_inside_yeast,nearest_red_centroid_distance_px
yeast_cyano_3.czi,combined,otsu_global,9,716,205.14245810055866,404.2611731843575,105.37290502793296,1.541899441340782,0,0.0,1.0,True,False,False,0,32.010720983493414
yeast_cyano_3.czi,combined,otsu_global,10,618,205.06148867313917,220.2168284789644,85.43203883495146,8.925566343042071,158,0.255663430420712,1.0,True,True,True,1,7.459582555022805
yeast_cyano_3.czi,combined,otsu_global,11,83,194.40963855421685,123.59036144578313,117.20481927710843,1.6385542168674698,0,0.0,1.0,True,False,False,0,11.734654782656367
yeast_cyano_3.czi,combined,otsu_global,12,84,228.9404761904762,56.25,73.97619047619048,1.4880952380952381,0,0.0,1.0,True,False,False,0,46.9458472565753
yeast_cyano_3.czi,combined,otsu_global,13,298,236.11744966442953,312.6275167785235,72.19127516778524,14.181208053691275,150,0.5033557046979866,1.0,True,True,True,1,0.1375510778542807
yeast_cyano_3.czi,combined,otsu_global,14,383,248.39686684073106,191.86945169712794,97.59007832898172,18.007832898172325,159,0.4151436031331593,1.0,True,True,True,1,1.657756441502395
yeast_cyano_3.czi,combined,otsu_global,15,101,244.41584158415841,12.524752475247524,75.96039603960396,8.287128712871286,15,0.1485148514851485,1.0,True,True,True,0,10.521253413987594
yeast_cyano_3.czi,combined,otsu_global,16,415,275.855421686747,229.055421686747,106.44096385542169,0.5012048192771085,0,0.0,1.0,False,False,False,0,41.31436700171579
yeast_cyano_3.czi,combined,otsu_global,17,416,284.52884615384613,409.7620192307692,102.88942307692308,4.170673076923077,9,0.021634615384615384,1.0,True,True,True,0,3.6547766377296873
yeast_cyano_3.czi,combined,otsu_global,18,1269,304.6146572104019,499.6493301812451,148.5799842395587,14.84160756501182,597,0.47044917257683216,1.0,True,True,True,1,4.012962009935296
yeast_cyano_3.czi,combined,otsu_global,19,550,303.96,266.8181818181818,104.17636363636363,2.327272727272727,0,0.0,1.0,True,False,False,0,34.91985479816237
yeast_cyano_3.czi,combined,otsu_global,20,317,333.7570977917981,398.25867507886437,93.98422712933754,3.4921135646687698,16,0.050473186119873815,1.0,True,True,True,0,0.8225256305760243
yeast_cyano_3.czi,combined,otsu_global,21,388,420.3453608247423,503.3556701030928,175.1520618556701,19.314432989690722,168,0.4329896907216495,1.0,True,True,True,1,1.1836605306676897
yeast_cyano_3.czi,combined,otsu_global,22,226,431.3495575221239,130.99115044247787,94.84955752212389,21.588495575221238,148,0.6548672566371682,1.0,True,True,True,1,4.904027592887784
yeast_cyano_3.czi,combined,otsu_global,23,83,506.96385542168673,270.49397590361446,86.25301204819277,3.216867469879518,0,0.0,1.0,True,False,False,0,63.61981705039981
